user_story_name,story_points,current_sprint,status,phase_number
Build AI Agent Activity Dashboard,8,Yes,In Development,4
Track Agent Task Execution Logs,5,Yes,Testing,4
Visualize Cross-Agent Dependencies,8,Yes,Testing,4
Create Real-Time Sprint Insights Panel,5,Yes,Not Started,4
"Integrate External AI APIs (OpenAI, Claude)",13,No,In Development,4
Develop Agent Performance Analytics,8,Yes,Production,4
Implement Smart Sprint Planning Assistant,13,No,Not Started,4
Enable AI-Powered Backlog Prioritization,8,Yes,Production,4
Design Multi-Agent Monitoring Interface,5,Yes,Testing,4
Build Collaboration Layer for PM + Engineers,5,Yes,Not Started,4
